Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,51103,1087,5.39,5.51,22076
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,65769,37,5.38,5.54,23658
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,60300,0,5.38,5.55,24487
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,67963,51,5.39,5.53,27051
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,71715,13,5.39,5.56,32457
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,53189,7,5.39,5.53,20183
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,83843,183,5.38,5.54,32910
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,70311,0,5.39,5.53,29464
180212_Smp_L2C2DCM_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,46402,88,5.38,5.5,17592
180212_Smp_L2C2DCM_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,65591,67,5.39,5.53,31768
180212_Smp_L2C2DCM_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,58784,47,5.38,5.49,26789
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,48375,0,5.39,5.49,16736
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,56684,240,5.39,5.5,22393
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,47947,89,5.39,5.53,22297
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,28411,50,5.39,5.52,10073
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,41640,270,5.39,5.51,18207
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,33262,0,5.4,5.56,13800
180212_Std_4uMhilicMix4_1,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.4,29341142,393915,5.36,5.47,15076208
180212_Std_4uMhilicMix4_2,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.42,51149596,213710,5.38,5.5,26606984
180212_Blk_MQBlk_1,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,4335,0,5.38,5.57,1084
180212_Blk_MQBlk_2,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.41,2458,0,5.39,5.49,812
180212_Blk_MQBlk_3,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,876,35,5.41,5.48,697
180212_Blk_SWBlk_1,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.42,4240,58,5.4,5.56,1427
180212_Blk_SWBlk_2,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.46,2678,40,5.4,5.51,1271
180212_Blk_SWBlk_3,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.51,2468,0,5.39,5.56,636
180212_Poo_TruePoo_Full1,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,106820,162,5.4,5.55,41630
180212_Poo_TruePoo_Full2,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,112026,36,5.38,5.5,54299
180212_Poo_TruePoo_Full3,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,129890,45,5.39,5.54,51323
180212_Poo_TruePoo_Half1,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,60390,29,5.38,5.53,22633
180212_Poo_TruePoo_Half2,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.42,61992,114,5.38,5.53,24117
180212_Poo_TruePoo_Half3,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,54607,118,5.38,5.51,20517
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.42,137481,167,5.38,5.5,55788
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,134070,43,5.38,5.53,53878
